contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
"62000","غرفتين و صالة","","وحدة","Residential","CRT678566816","2 bed rooms+hall","","سكني","305","Person","2017-07-10","2018-07-09","Al Nahda Metro Station","2","1","1","City Centre Mirdif","محطة مترو النهضة","Unit","2","سيتي سنتر مردف","0","62000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","AL QUSAIS","2025-12-11 23:26:31","مطار دبي الدولي","842","القصيص","null","2","شخص","","2"
"42000","غرفتين و صالة","","وحدة","Residential","CNT2085012891","2 bed rooms+hall","","سكني","234","Person","2023-07-01","2024-06-30","Al Qiyadah Metro Station","2","1","1","City Centre Mirdif","محطة مترو القيادة","Unit","2","سيتي سنتر مردف","0","42000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Hor Al Anz East","2025-12-11 23:26:31","مطار دبي الدولي","842","هور العنز شرق","null","97","شخص","","2"
"324000","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT810872829","Room in labor Camp","","سكني","360","Authority","2018-05-01","2019-04-30","Etisalat Metro Station","5","10","3","City Centre Mirdif","محطة مترو اتصالات","Virtual Unit","12","سيتي سنتر مردف","1","324000","Renew","Labor Camps","0","","تجديد","سكن عمال","Dubai International Airport","Muhaisanah Second","2025-12-11 23:26:31","مطار دبي الدولي","4","محيصنه الثانيه","null","null","جهة","","2"
"32000","أستوديو","INTERNATIONAL CITY EMARATI","وحدة","Residential","CRT321321966","Studio","المدينة العالمية الإماراتية","سكني","343","Person","2014-09-01","2015-08-31","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","11","سيتي سنتر مردف","0","32000","New","Flat","1","International City Phase 1","جديد","شقه","","Al Warsan First","2025-12-11 23:26:31","","842","ورسان الاولى","1288","47","شخص","المدينة العالمية - المرحلة الاولى","1"
"529740","مكتب","","وحدة","Commercial","CNT2117594965","Office","","تجاري","341","Authority","2024-07-29","2026-07-28","Trade Centre Metro Station","2","1","1","Dubai Mall","محطة مترو المركز التجاري","Unit","422","مول دبي","1","264870","Renew","Office","0","","تجديد","مكتب","Burj Khalifa","Trade Center First","2025-12-11 23:26:31","برج خليفة","2","المركز التجارى الاولى","null","182","جهة","","2"
"15000000","Hotel","","وحدة","Commercial","CRT2081906706","Hotel","","تجاري","267","Authority","2023-03-31","2033-03-30","ADCB Metro Station","2","101","52","Dubai Mall","محطة مترو بنك أبوظبي التجاري","Unit","521","مول دبي","1","1500000","New","Hotel","0","","جديد","فندق","Burj Khalifa","Al Raffa","2025-12-11 23:26:31","برج خليفة","24","الرفاعه","null","10","جهة","","1"
"700000","معرض","","وحدة","Commercial","CNT2111419898","Showroom","","تجاري","255","Authority","2024-02-11","2025-02-10","Al Rigga Metro Station","2","1","1","Dubai Mall","محطة مترو الرقة","Unit","20","مول دبي","1","700000","Renew","Showroom","0","","تجديد","معرض","Dubai International Airport","Rega Al Buteen","2025-12-11 23:26:31","مطار دبي الدولي","6","رقه البطين","null","615","جهة","","2"
"85000","غرفة و صالة","BAY CENTRAL WEST & CENTRAL TOWERS","وحدة","Residential","CNT849113327","1bed room+Hall","باي سنترال ويست أند سنترال ","سكني","330","Person","2018-09-04","2019-09-03","Jumeirah Beach Resdency","2","1","1","Marina Mall","مساكن شاطئ الجميرا","Unit","1","مارينا مول","0","85000","New","Flat","1","Dubai Marina","جديد","شقه","Burj Al Arab","Marsa Dubai","2025-12-11 23:26:31","برج العرب","842","مرسى دبي","259","60","شخص","دبي مارينا","1"
"123000","ثلاثة غرفة و صالة","","وحدة","Residential","CNT2129117096","3 bed rooms+hall","","سكني","244","Authority","2025-01-05","2026-01-04","Al Rigga Metro Station","2","1","1","Dubai Mall","محطة مترو الرقة","Unit","3","مول دبي","1","123000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Murqabat","2025-12-11 23:26:31","مطار دبي الدولي","842","المرقبات","null","139","جهة","","2"
"40000","غرفة و صالة","","وحدة","Residential","CNT1986907082","1bed room+Hall","","سكني","238","Person","2022-08-15","2023-08-14","Palm Deira Metro Stations","2","1","1","Dubai Mall","محطات مترو نخلة ديرة","Unit","1","مول دبي","0","40000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Dhagaya","2025-12-11 23:26:31","مطار دبي الدولي","842","الضغايه","null","42","شخص","","2"
"45000","غرفتين و صالة","","وحدة","Residential","CNT1105784694","2 bed rooms+hall","","سكني","355","Person","2019-11-05","2020-11-04","STADIUM Metro Station","2","1","1","City Centre Mirdif","محطة مترو الاستاد","Unit","2","سيتي سنتر مردف","0","45000","New","Flat","0","","جديد","شقه","Dubai International Airport","Al Nahda First","2025-12-11 23:26:31","مطار دبي الدولي","842","النهده الاولى","null","96","شخص","","1"
"3859200","سكن عمال","","وحدة افتراضية","Residential","CNT747517170","Labor Camp","","سكني","395","Authority","2017-09-24","2018-09-23","DANUBE Metro Station","5","201","194","Ibn-e-Battuta Mall","محطة مترو الدانوب","Virtual Unit","38","ابن بطوطة مول","1","3859200","New","Labor Camps","0","","جديد","سكن عمال","Expo 2020 Site","Jabal Ali Industrial First","2025-12-11 23:26:31","موقع إكسبو 2020","4","جبل على الصناعية الأولى","null","null","جهة","","1"
"150000","ثلاثة غرفة و صالة","","فيلا","Residential","CNT1056434394","3 bed rooms+hall","","سكني","368","Person","2019-07-10","2020-07-09","Sharaf Dg Metro Station","4","1","1","Mall of the Emirates","محطة مترو شرف دي جي","Villa","3","مول الإمارات","0","150000","New","Villa","0","","جديد","فيلا","Burj Al Arab","Al Barsha First","2025-12-11 23:26:31","برج العرب","841","البرشاء الاولى","null","264","شخص","","1"
"85000","غرفتين و صالة","THE DUBAI CREEK RESIDENCES","وحدة","Residential","CRT1363408726","2 bed rooms+hall","دبي كريك ريزيدنس","سكني","447","Person","2020-12-25","2021-12-24","Creek Metro Station","2","1","1","Dubai Mall","محطة مترو الخور","Unit","2","مول دبي","0","85000","Renew","Flat","1","Dubai Creek Harbour","تجديد","شقه","Dubai International Airport","Al Khairan First","2025-12-11 23:26:31","مطار دبي الدولي","842","الخيران الأولى","1597","145","شخص","خور دبي","2"
"35000","مكتب","","وحدة","Commercial","CRT167252176","Office","","تجاري","242","","2013-10-01","2014-09-30","Al Ras Metro Station","2","1","1","Dubai Mall","محطة مترو الراس","Unit","422","مول دبي","null","35000","New","Office","0","","جديد","مكتب","Dubai International Airport","Al Ras","2025-12-11 23:26:31","مطار دبي الدولي","2","الراس","null","46","","","1"
"25000","غرفة و صالة","","وحدة","Residential","CNT1504358454","1bed room+Hall","","سكني","362","Person","2021-07-10","2022-08-24","Salah Al Din Metro Station","2","1","1","Dubai Mall","محطة مترو صلاح الدين","Unit","1","مول دبي","0","25000","New","Flat","0","","جديد","شقه","Dubai International Airport","Naif","2025-12-11 23:26:31","مطار دبي الدولي","842","نايف","null","40","شخص","","1"
"25000","غرفة و صالة","","وحدة","Residential","CNT29665","1bed room+Hall","","سكني","343","Person","2011-07-10","2012-07-09","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","1","سيتي سنتر مردف","0","25000","New","Flat","1","International City Phase 1","جديد","شقه","","Al Warsan First","2025-12-11 23:26:31","","842","ورسان الاولى","null","68","شخص","المدينة العالمية - المرحلة الاولى","1"
"42000","غرفة و صالة","","وحدة","Residential","CNT890550645","1bed room+Hall","","سكني","301","Person","2018-11-01","2019-10-31","Al Nahda Metro Station","2","1","1","City Centre Mirdif","محطة مترو النهضة","Unit","1","سيتي سنتر مردف","0","42000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","Al Nahda Second","2025-12-11 23:26:31","مطار دبي الدولي","842","النهده الثانيه","null","0","شخص","","2"
"184800","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT369313612","Room in labor Camp","","سكني","345","Authority","2015-11-01","2016-10-31","","5","12","9","City Centre Mirdif","","Virtual Unit","12","سيتي سنتر مردف","1","184800","New","Labor Camps","0","","جديد","سكن عمال","","Al Warsan Third","2025-12-11 23:26:31","","4","ورسان الثالثه","null","null","جهة","","1"
"62500","غرفتين و صالة","","وحدة","Residential","CNT1422906141","2 bed rooms+hall","","سكني","441","Person","2021-04-01","2022-06-30","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","2","مول الإمارات","0","50000","New","Flat","1","Jumeirah Village Circle","جديد","شقه","Sports City Swimming Academy","Al Barsha South Fourth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","البرشاء جنوب الرابعة","null","104","شخص","قرية جميرا الدائرية","1"
