project_name_en,rooms,is_registered,pre_registration_number,property_sub_type_id,parent_property_id,project_name_ar,area_id,unit_parking_number,zone_id,property_type_id,is_lease_hold,unit_number,parking_allocation_type_en,project_id,land_sub_number,master_project_id,land_type_ar,parking_allocation_type_ar,common_area,floor,munc_number,actual_common_area,rooms_ar,property_type_en,is_free_hold,land_type_en,master_project_en,land_number,rooms_en,area_name_en,property_type_ar,creation_date,parcel_id,load_timestamp,property_id,area_name_ar,actual_area,property_sub_type_en,grandparent_property_id,land_type_id,unit_balcony_area,parking_allocation_type,property_sub_type_ar,master_project_ar,munc_zip_code,building_number
"null","1","null","null","null","null","null","368","null","2","3","null","210","null","null","0","null","تجارى","null","62","2","4546","null","غرفة و صالة","Unit","0","Commercial","null","208","1bed room+Hall","Al Barsha First","وحدة","2020-06-21 00:00:00","3734546","2026-02-26 16:09:32","1001361646903","البرشاء الاولى","62","null","1001244790296","4","null","null","null","null","373","208"
"null","2","1","null","60","1211393954","null","343","1","2","3","0","511","null","null","0","23","تجارى","null","0","5","2049","null","غرفتان","Unit","1","Commercial","International City Phase 1","37","2 B/R","Al Warsan First","وحدة","2012-12-30 00:00:00","6212049","2026-02-26 16:09:32","1784848230","ورسان الاولى","93.43","Flat","2108018884","4","5.17","null","شقه سكنيه","المدينة العالمية - المرحلة الاولى","621","CBD-04"
"null","65","1","null","60","215688219","null","395","null","2","3","1","222","null","null","0","198","صناعى","null","0","2","9230","null","غرفة مستقلة","Unit","0","Industrial","JABAL ALI INDUSTRIAL DEVELOPMENT","1131","Single Room","Jabal Ali Industrial First","وحدة","2020-07-22 00:00:00","5999230","2026-02-26 16:09:32","1845614544","جبل على الصناعية الأولى","11.34","Flat","198703753","3","0","null","شقه سكنيه","جبل علي الصناعية للتطوير","599","1"
"FAY","1","0","null","60","970902382","في","482","1","2","3","0","206","null","170290649","0","545","تجارى","null","0.17","2","11216","53.86","غرفة","Unit","1","Commercial","Dubai Hills Estate","3395","1 B/R","Hadaeq Sheikh Mohammed Bin Rashid","وحدة","2018-07-12 00:00:00","null","2026-02-26 16:09:32","545320543","حدائق الشيخ محمد بن راشد","64.21","Flat","936799227","4","7.95","null","شقه سكنيه"," دبي هيلز استيت ","631","CANCELLED-1"
"null","null","null","null","null","null","null","247","null","1","null","null","M7-376              ","null","null","0","null","null","null","null","null","246","null","null","null","0","null","null","285","null","Al Khabeesi","null","2023-09-08 00:00:00","1280246","2026-02-26 16:09:32","1001363296968","الخبيصى","null","null","null","null","null","null","null","null","128","285"
"PANGKOR LAUT LUXURY RESIDENCE & SPA VILLAGE","1","0","null","60","1053983613","بانجكور لاوت لاكشوري ريزيدنس و سبا فيلج","413","null","2","3","0","G03","null","874","0","2","تجارى","null","20.6423","G","5288","20.64","غرفة","Unit","1","Commercial","The World","44","1 B/R","World Islands","وحدة","2009-02-26 00:00:00","3035288","2026-02-26 16:09:32","1670867368","جزر العالم","181.75","Flat","1760713303","4","86","null","شقه سكنيه","جزر العالم","303","PANGKOR LAUT LUXURY RESIDENCE  A"
"null","65","1","null","60","1205864898","null","459","null","2","3","1","2112","null","null","0","107","تجارى","null","0","2","848","null","غرفة مستقلة","Unit","0","Commercial","Dubai Investment Park Second","543","Single Room","Dubai Investment Park Second","وحدة","2017-09-06 00:00:00","5970848","2026-02-26 16:09:32","205424675","مجمع دبي للاستثمار الثاني","13","Flat","1813595555","4","0","null","شقه سكنيه","مجمع دبي للاستثمار الثاني","597","1"
"null","1","null","null","null","null","null","362","null","1","3","null","112","null","null","0","null","تجارى","null","26.4","1","984","null","غرفة و صالة","Unit","0","Commercial","null","610","1bed room+Hall","Naif","وحدة","2013-05-27 00:00:00","1180984","2026-02-26 16:09:32","1000023101161","نايف","26.4","null","1000366434338","4","null","null","null","null","118","0"
"null","11","null","null","null","null","null","339","null","1","3","null","FLAT NO 402","null","null","0","null","تجارى","null","null","null","528","null","أستوديو","Unit","0","Commercial","null","423","Studio","Al Mararr","وحدة","2013-02-24 00:00:00","1170528","2026-02-26 16:09:32","1001979275757","المرر","null","null","1000027101051","4","null","null","null","null","117","null"
"null","12","null","null","null","null","null","395","null","2","3","null","F22","null","null","0","null","صناعى","null","14","1","1792","null","غرفه سكن عمال","Unit","0","Industrial","null","462","Room in labor Camp","Jabal Ali Industrial First","وحدة","2019-08-19 00:00:00","5991792","2026-02-26 16:09:32","1001881669643","جبل على الصناعية الأولى","14","null","1000235137147","3","null","null","null","null","599","462"
